trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
27,False,"{'a': 0.5, 'e': 0.7633794943368531}",25,0,-16.364989983096734,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.7557837414557255}",20,0,-81.753035034235,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.7482635675785653}",20,0,-163.1044614933013,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 4}",0
30,False,"{'a': 0.5, 'e': 0.7408182206817179}",25,0,-112.96545863127272,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.7334469562242892}",20,13,2.3060930444457757,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.7261490370736909}",20,0,-102.56271205773173,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.7189237334319262}",20,0,-151.07765799190676,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.7117703227626097}",25,0,-104.73350889603039,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.7046880897187134}",25,0,-87.0041163126512,"{0: 15, 1: 0, 2: 9, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.697676326071031}",20,0,-72.94674522873005,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.6907343306373547}",25,0,-114.71201923470066,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.6838614092123558}",30,13,-14.837673731158718,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.6770568744981647}",25,14,-74.25947447221198,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.6703200460356393}",30,0,-199.4327695988923,"{0: 13, 1: 5, 2: 10, 3: 0, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.6636502501363194}",20,0,-29.82074604507634,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.6570468198150567}",35,0,-25.623043593562528,"{0: 27, 1: 4, 2: 4, 3: 0, 4: 0}",0
